price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,population_(rounded)*,postcode,ethnic_breakdown_2016,median_house_price_(2020),median_house_price_(2021),%_change,median_house_rent_(per_week),median_apartment_price_(2020),median_apartment_rent_(per_week),public_housing_%,avg._years_held,time_to_cbd_(public_transport)_[town_hall_st],time_to_cbd_(driving)_[town_hall_st],nearest_train_station,highlights/attractions,ideal_for,traffic,public_transport,affordability_(rental),affordability_(buying),nature,noise,things_to_see/do,family-friendliness,pet_friendliness,safety,overall_rating,review_link
2300000,2016-01-25,Concord,3,5,2,556,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,Inner West,"15,000",2137.0,"Italian 17.7%, English 14.7%, Australian 14.0%, Chinese 9.5%, Irish 7.4%","$1,800,000.00","$2,200,000.00",22.22%,$750.00,"$995,000.00",$500.00,3%,13.5,40,30,Concord West,"Golf courses, multiple parks & ovals, Concord Museum & City of Canada Bay Museum","Families, professionals, retirees",6.0,5.0,5.0,3.0,8.0,7.0,6.0,9.0,9.0,9.0,6.7,https://sydneysuburbreviews.com/concord
940000,2016-01-25,Acacia Gardens,2,4,2,560,House,3798,47060,1.001,-33.73411,150.91377,88,2.0,150.9,31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695000,2016-01-25,Wetherill Park,1,3,2,550,House,6127,25688,11.214,-33.84214,150.89843,43,2.0,150.9,28.94,Western Suburbs,"6,250",2164.0,"Australian 10.6%, Italian 9.6%, English 8.9%, Assyrian 7.6%, Chinese 4.7%","$760,000.00","$980,000.00",28.95%,$500.00,"$525,000.00",$430.00,2%,18.2,75 minutes,45 minutes,Guildford,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
930000,2016-01-26,Picnic Point,1,4,5,607,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,Western Suburbs,"6,250",2213.0,"Australian 23.1%, English 20.7%, Irish 8.2%, Scottish 5.9%, Greek 4.9%","$1,000,000.00","$1,200,000.00",20.00%,$625.00,"$740,000.00",$580.00,1%,12.2,60 minutes,35 minutes,East Hills,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2300000,2016-01-27,Dolans Bay,5,5,6,1151,House,598,46800,0.259,-34.06337,151.12578,26,2.0,150.9,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670000,2016-01-27,North Avoca,2,4,2,556,House,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557000,2016-01-27,Bensville,2,3,2,556,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558000,2016-01-28,Chittaway Bay,2,4,3,771,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550000,2016-01-28,Kincumber,1,3,1,618,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015000,2016-01-29,Concord,2,4,2,581,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,Inner West,"15,000",2137.0,"Italian 17.7%, English 14.7%, Australian 14.0%, Chinese 9.5%, Irish 7.4%","$1,800,000.00","$2,200,000.00",22.22%,$750.00,"$995,000.00",$500.00,3%,13.5,40,30,Concord West,"Golf courses, multiple parks & ovals, Concord Museum & City of Canada Bay Museum","Families, professionals, retirees",6.0,5.0,5.0,3.0,8.0,7.0,6.0,9.0,9.0,9.0,6.7,https://sydneysuburbreviews.com/concord
